attacks,mitigations
HTTP Response Smuggling,"['Design: evaluate HTTP agents prior to deployment for parsing/interpretation discrepancies. ', 'Configuration: front-end HTTP agents notice ambiguous requests. ', 'Configuration: back-end HTTP agents reject ambiguous requests and close the network connection. ', 'Configuration: Disable reuse of back-end connections. ', 'Configuration: Use HTTP/2 for back-end connections. ', 'Configuration: Use the same web server software for front-end and back-end server. ', 'Implementation: Utilize a Web Application Firewall (WAF) that has built-in mitigation to detect abnormal requests/responses. ', 'Configuration: Prioritize Transfer-Encoding header over Content-Length, whenever an HTTP message contains both. ', 'Configuration: Disallow HTTP messages with both Transfer-Encoding and Content-Length or Double Content-Length Headers. ', 'Configuration: Disallow Malformed/Invalid Transfer-Encoding Headers used in obfuscation, such as: <ul><li>Headers with no space before the value chunked </li><li>Headers with extra spaces </li><li>Headers beginning with trailing characters </li><li>Headers providing a value chunk instead of chunked (the server normalizes this as chunked encoding) </li><li>Headers with multiple spaces before the value chunked </li><li>Headers with quoted values (whether single or double quotations) </li><li>Headers with CRLF characters before the value chunked </li><li>Values with invalid characters </li></ul>', 'Configuration: Install latest vendor security patches available for both intermediary and back-end HTTP infrastructure (i.e. proxies and web servers) ', 'Configuration: Ensure that HTTP infrastructure in the chain or network path utilize a strict uniform parsing process. ', 'Implementation: Utilize intermediary HTTP infrastructure capable of filtering and/or sanitizing user-input. ']"
HTTP Verb Tampering,"['Design: Ensure that only legitimate HTTP verbs are allowed. ', 'Design: Do not use HTTP verbs as factors in access decisions. ']"
HTTP Request Smuggling,"['Design: evaluate HTTP agents prior to deployment for parsing/interpretation discrepancies. ', 'Configuration: front-end HTTP agents notice ambiguous requests. ', 'Configuration: back-end HTTP agents reject ambiguous requests and close the network connection. ', 'Configuration: Disable reuse of back-end connections. ', 'Configuration: Use HTTP/2 for back-end connections. ', 'Configuration: Use the same web server software for front-end and back-end server. ', 'Implementation: Utilize a Web Application Firewall (WAF) that has built-in mitigation to detect abnormal requests/responses. ', 'Configuration: Prioritize Transfer-Encoding header over Content-Length, whenever an HTTP message contains both. ', 'Configuration: Disallow HTTP messages with both Transfer-Encoding and Content-Length or Double Content-Length Headers. ', 'Configuration: Disallow Malformed/Invalid Transfer-Encoding Headers used in obfuscation, such as: <ul><li>Headers with no space before the value chunked </li><li>Headers with extra spaces </li><li>Headers beginning with trailing characters </li><li>Headers providing a value chunk instead of chunked (the server normalizes this as chunked encoding) </li><li>Headers with multiple spaces before the value chunked </li><li>Headers with quoted values (whether single or double quotations) </li><li>Headers with CRLF characters before the value chunked </li><li>Values with invalid characters </li></ul>', 'Configuration: Install latest vendor security patches available for both intermediary and back-end HTTP infrastructure (i.e. proxies and web servers) ', 'Configuration: Ensure that HTTP infrastructure in the chain or network path utilize a strict uniform parsing process. ', 'Implementation: Utilize intermediary HTTP infrastructure capable of filtering and/or sanitizing user-input. ']"
HTTP Response Splitting,"['Design: evaluate HTTP agents prior to deployment for parsing/interpretation discrepancies. ', 'Configuration: front-end HTTP agents notice ambiguous requests. ', 'Configuration: back-end HTTP agents reject ambiguous requests and close the network connection. ', 'Configuration: Disable reuse of back-end connections. ', 'Configuration: Use HTTP/2 for back-end connections. ', 'Configuration: Use the same web server software for front-end and back-end server. ', 'Implementation: Utilize a Web Application Firewall (WAF) that has built-in mitigation to detect abnormal requests/responses. ', 'Configuration: Install latest vendor security patches available for both intermediary and back-end HTTP infrastructure (i.e. proxies and web servers) ', 'Configuration: Ensure that HTTP infrastructure in the chain or network path utilize a strict uniform parsing process. ', 'Implementation: Utilize intermediary HTTP infrastructure capable of filtering and/or sanitizing user-input. ']"
Blue Boxing,"['Implementation: Upgrade phone lines. Note this may be prohibitively expensive ', 'Use strong access control such as two factor access control for administrative access to the switch ']"
Exploitation of Thunderbolt Protection Flaws,"['Implementation: Kernel Direct Memory Access Protection ', 'Configuration: Enable UEFI option USB Passthrough mode - Thunderbolt 3 system port operates as USB 3.1 Type C interface ', 'Configuration: Enable UEFI option DisplayPort mode - Thunderbolt 3 system port operates as video-only DP interface ', 'Configuration: Enable UEFI option Mixed USB/DisplayPort mode - Thunderbolt 3 system port operates as USB 3.1 Type C interface with support for DP mode ', 'Configuration: Set Security Level to SL3 for Thunderbolt 2 system port ', 'Configuration: Disable PCIe tunneling to set Security Level to SL3 ', 'Configuration: Disable Boot Camp upon MacOS systems ']"
SOAP Manipulation,[]
Harvesting Information via API Event Monitoring,['Leverage encryption techniques during information transactions so as to protect them from attack patterns of this kind. ']
Signing Malicious Code,"['Ensure digital certificates are protected and inaccessible by unauthorized uses. ', 'If a digital certificate has been compromised it should be revoked and regenerated. ', 'Even if a piece of software has a valid and trusted digital signature, it should be assessed for any weaknesses and vulnerabilities. ']"
Malicious Logic Inserted Into Product by Authorized Developer,"['Assess software and hardware during development and prior to deployment to ensure that it functions as intended and without any malicious functionality. This includes both initial development, as well as updates propagated to the product after deployment. ']"
Malicious Logic Insertion into Product Software via Configuration Management Manipulation,"['Assess software during development and prior to deployment to ensure that it functions as intended and without any malicious functionality. ', 'Leverage anti-virus products to detect and quarantine software with known virus. ']"
Malicious Logic Insertion into Product via Inclusion of Third-Party Component,"['Assess software and hardware during development and prior to deployment to ensure that it functions as intended and without any malicious functionality. This includes both initial development, as well as updates propagated to the product after deployment. ', ""Don't assume popular third-party components are free from malware or vulnerabilities. For software, assess for malicious functionality via update/commit reviews or automated static/dynamic analysis prior to including the component within the application and deploying in a production environment. ""]"
Altered Installed BIOS,"['Deploy strong code integrity policies to allow only authorized apps to run. ', 'Use endpoint detection and response solutions that can automaticalkly detect and remediate suspicious activities. ', 'Maintain a highly secure build and update infrastructure by immediately applying security patches for OS and software, implementing mandatory integrity controls to ensure only trusted tools run, and requiring multi-factor authentication for admins. ', 'Require SSL for update channels and implement certificate transparency based verification. ', 'Sign update packages and BIOS patches. ', 'Use hardware security modules/trusted platform modules to verify authenticity using hardware-based cryptography. ']"
Open-Source Library Manipulation,[]
Software Development Tools Maliciously Altered,"['Have a security concept of operations (CONOPS) for the development environment that includes: Maintaining strict security administration and configuration management of requirements management and database tools, software design tools, configuration management tools, compilers, system build tools, and software performance testing and load testing tools. ', 'Avoid giving elevated privileges to developers. ']"
Malicious Code Implanted During Chip Programming,"['Utilize DMEAs (Defense Microelectronics Activity) Trusted Foundry Program members for acquisition of microelectronic components. ', 'Ensure that each supplier performing hardware development implements comprehensive, security-focused configuration management of microcode and microcode generating tools and software. ', 'Require that provenance of COTS microelectronic components be known whenever procured. ', 'Conduct detailed vendor assessment before acquiring COTS hardware. ']"
Developer Signing Maliciously Altered Software,"['Have a security concept of operations (CONOPS) for the IDE that includes: Protecting the IDE via logical isolation using firewall and DMZ technologies/architectures; Maintaining strict security administration and configuration management of configuration management tools, developmental software and dependency code repositories, compilers, and system build tools. ', 'Employ intrusion detection and malware detection capabilities on IDE systems where feasible. ']"
System Build Data Maliciously Altered,"['Implement configuration management security practices that protect the integrity of software and associated data. ', 'Monitor and control access to the configuration management system. ', 'Harden centralized repositories against attack. ', 'Establish acceptance criteria for configuration management check-in to assure integrity. ', 'Plan for and audit the security of configuration management administration processes. ', 'Maintain configuration control over operational systems. ']"
Embed Virus into DLL,['Leverage anti-virus products to detect and quarantine software with known virus. ']
Altered Component Firmware,"['Leverage hardware components known to not be susceptible to these types of attacks. ', 'Implement hardware RAID infrastructure. ']"
USB Memory Attacks,"['Ensure that proper, physical system access is regulated to prevent an adversary from physically connecting a malicious USB device themself. ', 'Use anti-virus and anti-malware tools which can prevent malware from executing if it finds its way onto a target system. Additionally, make sure these tools are regularly updated to contain up-to-date virus and malware signatures. ', 'Do not connect untrusted USB devices to systems connected on an organizational network. Additionally, use an isolated testing machine to validate untrusted devices and confirm malware does not exist. ']"
Flash Memory Attacks,[]
Install New Service,['Limit privileges of user accounts so new service creation can only be performed by authorized administrators. ']
Modify Existing Service,['Limit privileges of user accounts so service changes can only be performed by authorized administrators. Also monitor any service changes that may occur inadvertently. ']
Install Rootkit,['Prevent adversary access to privileged accounts necessary to install rootkits. ']
Replace File Extension Handlers,['Inspect registry for changes. Limit privileges of user accounts so changes to default file handlers can only be performed by authorized administrators. ']
Replace Trusted Executable,[]
Run Software at Logon,['Restrict write access to logon scripts to necessary administrators. ']
Replace Winlogon Helper DLL,"['Changes to registry entries in ""HKLM\\Software\\Microsoft\\Windows NT\\Winlogon\\Notify"" that do not correlate with known software, patch cycles, etc are suspicious. New DLLs written to System32 which do not correlate with known good software or patching may be suspicious. ']"
Install Malicious Extension,"['Only install extensions/plugins from official/verifiable sources. ', 'Confirm extensions/plugins are legitimate and not malware masquerading as a legitimate extension/plugin. ', 'Ensure the underlying software leveraging the extension/plugin (including operating systems) is up-to-date. ', 'Implement an extension/plugin allow list, based on the given security policy. ', 'If applicable, confirm extensions/plugins are properly signed by the official developers. ', 'For web browsers, close sessions when finished to prevent malicious extensions/plugins from executing the the background. ']"
Kerberoasting,"['Monitor system and domain logs for abnormal access. ', 'Employ a robust password policy for service accounts. Passwords should be of adequate length and complexity, and they should expire after a period of time. ', 'Employ the principle of least privilege: limit service accounts privileges to what is required for functionality and no more. ', 'Enable AES Kerberos encryption (or another stronger encryption algorithm), rather than RC4, where possible. ']"
Use of Captured Tickets (Pass The Ticket),"['Reset the built-in KRBTGT account password twice to invalidate the existence of any current Golden Tickets and any tickets derived from them. ', 'Monitor system and domain logs for abnormal access. ']"
Windows Admin Shares with Stolen Credentials,"['Do not reuse local administrator account credentials across systems. ', 'Deny remote use of local admin credentials to log into domain systems. ', 'Do not allow accounts to be a local administrator on more than one system. ']"
Use of Captured Hashes (Pass The Hash),"['Prevent the use of Lan Man and NT Lan Man authentication on severs and apply patch KB2871997 to Windows 7 and higher systems. ', 'Leverage multi-factor authentication for all authentication services and prior to granting an entity access to the domain network. ', 'Monitor system and domain logs for abnormal credential access. ', 'Create a strong password policy and ensure that your system enforces this policy. ', 'Leverage system penetration testing and other defense in depth methods to determine vulnerable systems within a domain. ']"
TCP RST Injection,[]
BGP Route Disabling,"['Implement Ingress filters to check the validity of received routes. However, this relies on the accuracy of Internet Routing Registries (IRRs) databases which are often not well-maintained. ', 'Implement Secure BGP (S-BGP protocol), which improves authorization and authentication capabilities based on public-key cryptography. ']"
DNS Blocking,"['Hard Coded Alternate DNS server in applications ', 'Avoid dependence on DNS ', 'Include ""hosts file""/IP address in the application. ', 'Ensure best practices with respect to communications channel protections. ', 'Use a .onion domain with Tor support ']"
IP Address Blocking,['Have a large pool of backup IPs built into the application and support proxy capability in the application. ']
Block Access to Libraries,['Ensure that application handles situations where access to APIs in external libraries is not available securely. If the application cannot continue its execution safely it should fail in a consistent and secure fashion. ']
Spoof Version Control System Commit Metadata,"['Before downloading open-source software, perform precursory metadata checks to determine the author(s), frequency of updates, when the software was last updated, and if the software is widely leveraged. ', 'Reference vulnerability databases to determine if the software contains known vulnerabilities. ', 'Only download open-source software from reputable hosting sites or package managers. ', 'Only download open-source software that has been adequately signed by the developer(s). For repository commits/tags, look for the ""Verified"" status and for developers leveraging ""Vigilant Mode"" (GitHub) or similar modes. ', 'After downloading open-source software, ensure integrity values have not changed. ', 'Before executing or incorporating the software, leverage automated testing techniques (e.g., static and dynamic analysis) to determine if the software behaves maliciously. ']"
StarJacking,"['Before downloading open-source packages, perform precursory metadata checks to determine the author(s), frequency of updates, when the software was last updated, and if the software is widely leveraged. ', 'Look for conflicting or non-unique repository references to determine if multiple packages share the same repository reference. ', 'Reference vulnerability databases to determine if the software contains known vulnerabilities. ', 'Only download open-source packages from reputable package managers. ', 'After downloading open-source packages, ensure integrity values have not changed. ', 'Before executing or incorporating the package, leverage automated testing techniques (e.g., static and dynamic analysis) to determine if the software behaves maliciously. ']"
Exploitation of Improperly Configured or Implemented Memory Protections,"['Ensure that protected and unprotected memory ranges are isolated and do not overlap. ', 'If memory regions must overlap, leverage memory priority schemes if memory regions can overlap. ', 'Ensure that original and mirrored memory regions apply the same protections. ', 'Ensure immutable code or data is programmed into ROM or write-once memory. ']"
Exploitation of Improperly Controlled Registers,"['Design proper access control policies for hardware register access from software and ensure these policies are implemented in accordance with the specified design. ', 'Ensure security lock bit protections are reviewed for design inconsistencies and common weaknesses. ', 'Test security lock programming flow in both pre-silicon and post-silicon environments. ', 'Leverage automated tools to test that values are not reprogrammable and that write-once fields lock on writing zeros. ', 'Ensure that measurement data is stored in registers that are read-only or otherwise have access controls that prevent modification by an untrusted agent. ']"
Exploitation of Improperly Controlled Hardware Security Identifiers,"['Review generation of security identifiers for design inconsistencies and common weaknesses. ', 'Review security identifier decoders for design inconsistencies and common weaknesses. ', 'Test security identifier definition, access, and programming flow in both pre-silicon and post-silicon environments. ']"
Exploitation of Improperly Configured or Implemented Memory Protections,"['Ensure that protected and unprotected memory ranges are isolated and do not overlap. ', 'If memory regions must overlap, leverage memory priority schemes if memory regions can overlap. ', 'Ensure that original and mirrored memory regions apply the same protections. ', 'Ensure immutable code or data is programmed into ROM or write-once memory. ']"
Exploitation of Improperly Controlled Registers,"['Design proper access control policies for hardware register access from software and ensure these policies are implemented in accordance with the specified design. ', 'Ensure security lock bit protections are reviewed for design inconsistencies and common weaknesses. ', 'Test security lock programming flow in both pre-silicon and post-silicon environments. ', 'Leverage automated tools to test that values are not reprogrammable and that write-once fields lock on writing zeros. ', 'Ensure that measurement data is stored in registers that are read-only or otherwise have access controls that prevent modification by an untrusted agent. ']"
Exploitation of Improperly Controlled Hardware Security Identifiers,"['Review generation of security identifiers for design inconsistencies and common weaknesses. ', 'Review security identifier decoders for design inconsistencies and common weaknesses. ', 'Test security identifier definition, access, and programming flow in both pre-silicon and post-silicon environments. ']"
Cellular Rogue Base Station,['Passively monitor cellular network connection for real-time threat detection and logging for manual review. ']
Hardware Component Substitution During Baselining,"['Hardware attacks are often difficult to detect, as inserted components can be difficult to identify or remain dormant for an extended period of time. ', 'Acquire hardware and hardware components from trusted vendors. Additionally, determine where vendors purchase components or if any components are created/acquired via subcontractors to determine where supply chain risks may exist. ']"
Infiltration of Hardware Development Environment,"['Verify software downloads and updates to ensure they have not been modified be adversaries ', 'Leverage antivirus tools to detect known malware ', 'Do not download software from untrusted sources ', 'Educate designers, developers, engineers, etc. on social engineering attacks to avoid downloading malicious software via attacks such as phishing attacks ']"
ASIC With Malicious Functionality,[]
Hardware Design Specifications Are Altered,"['Digitize documents and cryptographically sign them to verify authenticity. ', 'Password protect documents and make them read-only for unauthorized users. ', 'Avoid emailing important documents and configurations. ', 'Ensure deleted files are actually deleted. ', 'Maintain backups of the document for recovery and verification. ', 'Separate need-to-know information from system configuration information depending on the user. ']"
Requirements for ASIC Functionality Maliciously Altered,"['Utilize DMEAs (Defense Microelectronics Activity) Trusted Foundry Program members for acquisition of microelectronic components. ', 'Ensure that each supplier performing hardware development implements comprehensive, security-focused configuration management including for hardware requirements and design. ', 'Require that provenance of COTS microelectronic components be known whenever procured. ', 'Conduct detailed vendor assessment before acquiring COTS hardware. ']"
Design for FPGA Maliciously Altered,"['Utilize DMEA�s (Defense Microelectronics Activity) Trusted Foundry Program members for acquisition of microelectronic components. ', 'Ensure that each supplier performing hardware development implements comprehensive, security-focused configuration management including for FPGA programming and program uploads to FPGA chips. ', 'Require that provenance of COTS microelectronic components be known whenever procured. ', 'Conduct detailed vendor assessment before acquiring COTS hardware. ']"
Bypassing ATA Password Security,"['Avoid using ATA password security when possible. ', 'Use full disk encryption to protect the entire contents of the drive or sensitive partitions on the drive. ', 'Leverage third-party utilities that interface with self-encrypting drives (SEDs) to provide authentication, while relying on the SED itself for data encryption. ']"
Hardware Component Substitution,[]
Provide Counterfeit Component,"['There are various methods to detect if the component is a counterfeit. See section II of [<a href=""#REF-703"">REF-703</a>] for many techniques. ']"
Malicious Gray Market Hardware,"['Purchase only from authorized resellers. ', 'Validate serial numbers from multiple sources ']"
Server Motherboard Compromise,"['Purchase IT systems, components and parts from government approved vendors whenever possible. ', 'Establish diversity among suppliers. ', 'Conduct rigorous threat assessments of suppliers. ', 'Require that Bills of Material (BoM) for critical parts and components be certified. ', 'Utilize contract language requiring contractors and subcontractors to flow down to subcontractors and suppliers SCRM and SCRA (Supply Chain Risk Assessment) requirements. ', 'Establish trusted supplier networks. ']"
Disabling Network Hardware,['Ensure rigorous physical defensive measures to keep the adversary from accessing critical systems.. ']
Accessing/Intercepting/Modifying HTTP Cookies,"['Design: Use input validation for cookies ', 'Design: Generate and validate MAC for cookies ', 'Implementation: Use SSL/TLS to protect cookie in transit ', 'Implementation: Ensure the web server implements all relevant security patches, many exploitable buffer overflows are fixed in patches issued for the software. ']"
Cellular Traffic Intercept,"['Encryption of all data packets emanating from the smartphone to a retransmission device via two encrypted tunnels with Suite B cryptography, all the way to the VPN gateway at the datacenter. ']"
Carry-Off GPS Attack,[]
Terrestrial Jamming,[]
Cellular Rogue Base Station,['Passively monitor cellular network connection for real-time threat detection and logging for manual review. ']
Padding Oracle Crypto Attack,"['Design: Use a message authentication code (MAC) or another mechanism to perform verification of message authenticity / integrity prior to decryption ', 'Implementation: Do not leak information back to the user as to any cryptography (e.g., padding) encountered during decryption. ']"
Cryptanalysis of Cellular Encryption,"['Use of hardened baseband firmware on retransmission device to detect and prevent the use of weak cellular encryption. ', 'Monitor cellular RF interface to detect the usage of weaker-than-expected cellular encryption. ']"
Orbital Jamming,[]
Wi-Fi Jamming,"['Countermeasures have been proposed for both disassociation flooding and RF jamming, however these countermeasures are not standardized and would need to be supported on both the retransmission device and the handset in order to be effective. Commercial products are not currently available that support jamming countermeasures for Wi-Fi. ']"
Cellular Jamming,"['Mitigating this attack requires countermeasures employed on both the retransmission device as well as on the cell tower. Therefore, any system that relies on existing commercial cell towards will likely be vulnerable to this attack. By using a private cellular LTE network (i.e., a custom cell tower), jamming countermeasures could be developed and employed. ']"
Infiltration of Software Development Environment,"['Avoid the common delivery mechanisms of adversaries, such as email attachments, which could introduce the malware. ']"
Hardware Component Substitution During Baselining,"['Hardware attacks are often difficult to detect, as inserted components can be difficult to identify or remain dormant for an extended period of time. ', 'Acquire hardware and hardware components from trusted vendors. Additionally, determine where vendors purchase components or if any components are created/acquired via subcontractors to determine where supply chain risks may exist. ']"
Counterfeit Hardware Component Inserted During Product Assembly,"['Hardware attacks are often difficult to detect, as inserted components can be difficult to identify or remain dormant for an extended period of time. ', 'Acquire hardware and hardware components from trusted vendors. Additionally, determine where vendors purchase components or if any components are created/acquired via subcontractors to determine where supply chain risks may exist. ']"
Infiltration of Hardware Development Environment,"['Verify software downloads and updates to ensure they have not been modified be adversaries ', 'Leverage antivirus tools to detect known malware ', 'Do not download software from untrusted sources ', 'Educate designers, developers, engineers, etc. on social engineering attacks to avoid downloading malicious software via attacks such as phishing attacks ']"
ASIC With Malicious Functionality,[]
Documentation Alteration to Circumvent Dial-down,"['Digitize documents and cryptographically sign them to verify authenticity. ', 'Password protect documents and make them read-only for unauthorized users. ', 'Avoid emailing important documents and configurations. ', 'Ensure deleted files are actually deleted. ', 'Maintain backups of the document for recovery and verification. ']"
Documentation Alteration to Produce Under-performing Systems,"['Digitize documents and cryptographically sign them to verify authenticity. ', 'Password protect documents and make them read-only for unauthorized users. ', 'Avoid emailing important documents and configurations. ', 'Ensure deleted files are actually deleted. ', 'Maintain backups of the document for recovery and verification. ', 'Separate need-to-know information from system configuration information depending on the user. ']"
Documentation Alteration to Cause Errors in System Design,"['Digitize documents and cryptographically sign them to verify authenticity. ', 'Password protect documents and make them read-only for unauthorized users. ', 'Avoid emailing important documents and configurations. ', 'Ensure deleted files are actually deleted. ', 'Maintain multiple instances of the document across different privileged users for recovery and verification. ']"
Hardware Design Specifications Are Altered,"['Digitize documents and cryptographically sign them to verify authenticity. ', 'Password protect documents and make them read-only for unauthorized users. ', 'Avoid emailing important documents and configurations. ', 'Ensure deleted files are actually deleted. ', 'Maintain backups of the document for recovery and verification. ', 'Separate need-to-know information from system configuration information depending on the user. ']"
Requirements for ASIC Functionality Maliciously Altered,"['Utilize DMEAs (Defense Microelectronics Activity) Trusted Foundry Program members for acquisition of microelectronic components. ', 'Ensure that each supplier performing hardware development implements comprehensive, security-focused configuration management including for hardware requirements and design. ', 'Require that provenance of COTS microelectronic components be known whenever procured. ', 'Conduct detailed vendor assessment before acquiring COTS hardware. ']"
Design for FPGA Maliciously Altered,"['Utilize DMEAs (Defense Microelectronics Activity) Trusted Foundry Program members for acquisition of microelectronic components. ', 'Ensure that each supplier performing hardware development implements comprehensive, security-focused configuration management including for FPGA programming and program uploads to FPGA chips. ', 'Require that provenance of COTS microelectronic components be known whenever procured. ', 'Conduct detailed vendor assessment before acquiring COTS hardware. ']"
Bypassing ATA Password Security,"['Avoid using ATA password security when possible. ', 'Use full disk encryption to protect the entire contents of the drive or sensitive partitions on the drive. ', 'Leverage third-party utilities that interface with self-encrypting drives (SEDs) to provide authentication, while relying on the SED itself for data encryption. ']"
Hardware Component Substitution,[]
Provide Counterfeit Component,"['There are various methods to detect if the component is a counterfeit. See section II of [<a href=""#REF-703"">REF-703</a>] for many techniques. ']"
Malicious Gray Market Hardware,"['Purchase only from authorized resellers. ', 'Validate serial numbers from multiple sources ']"
Server Motherboard Compromise,"['Purchase IT systems, components and parts from government approved vendors whenever possible. ', 'Establish diversity among suppliers. ', 'Conduct rigorous threat assessments of suppliers. ', 'Require that Bills of Material (BoM) for critical parts and components be certified. ', 'Utilize contract language requiring contractors and subcontractors to flow down to subcontractors and suppliers SCRM and SCRA (Supply Chain Risk Assessment) requirements. ', 'Establish trusted supplier networks. ']"
StarJacking,"['Before downloading open-source packages, perform precursory metadata checks to determine the author(s), frequency of updates, when the software was last updated, and if the software is widely leveraged. ', 'Look for conflicting or non-unique repository references to determine if multiple packages share the same repository reference. ', 'Reference vulnerability databases to determine if the software contains known vulnerabilities. ', 'Only download open-source packages from reputable package managers. ', 'After downloading open-source packages, ensure integrity values have not changed. ', 'Before executing or incorporating the package, leverage automated testing techniques (e.g., static and dynamic analysis) to determine if the software behaves maliciously. ']"
Counterfeit Websites,[]
Counterfeit Organizations,[]
Spear Phishing,"['Do not follow any links that you receive within your e-mails and certainly do not input any login credentials on the page that they take you too. Instead, call your Bank, PayPal, eBay, etc., and inquire about the problem. A safe practice would also be to type the URL of your bank in the browser directly and only then log in. Also, never reply to any e-mails that ask you to provide sensitive information of any kind. ']"
Mobile Phishing,"[""Do not follow any links that you receive within text messages and do not input any login credentials on the page that they take you too. Instead, call your Bank, PayPal, eBay, etc., and inquire about the problem. Safe practices also include leveraging the entity's mobile application or directly typing the entity's URL in the browser and only then logging in. Never reply to any text messages that ask you to provide sensitive information of any kind. ""]"
Voice Phishing,"['Do not accept calls from unknown numbers or from numbers that may be flagged as spam. Also, do not call numbers that appear on-screen after being unexpectedly redirected to potentially malicious websites. In either case, do not provide sensitive information over voice calls that are not legitimately initiated. Instead, call your Bank, PayPal, eBay, etc., via the number on their public-facing website and inquire about the problem. ']"
Scheme Squatting,"['The only known mitigation to this attack is to avoid installing the malicious application on the device. Applications usually have to declare the schemes they wish to register, so detecting this during a review is feasible. ']"
BitSquatting,"['Authenticate all servers and perform redundant checks when using DNS hostnames. ', 'When possible, use error-correcting (ECC) memory in local devices as non-ECC memory is significantly more vulnerable to faults. ']"
TypoSquatting,"['Authenticate all servers and perform redundant checks when using DNS hostnames. ', 'Purchase potential TypoSquatted domains and forward to legitimate domain. ']"
SoundSquatting,"['Authenticate all servers and perform redundant checks when using DNS hostnames. ', 'Purchase potential SoundSquatted domains and forward to legitimate domain. ']"
Homograph Attack via Homoglyphs,"['Authenticate all servers and perform redundant checks when using DNS hostnames. ', 'Utilize browsers that can warn users if URLs contain characters from different character sets. ']"
Bluetooth Impersonation AttackS (BIAS),"['Disable Bluetooth in public places. ', 'Verify incoming Bluetooth connections; do not automatically trust. ', 'Change default PIN passwords and always use one when connecting. ']"
Pretexting via Customer Service,[]
Pretexting via Tech Support,[]
Pretexting via Delivery Person,[]
Pretexting via Phone,[]
Pretexting via Customer Service,[]
Pretexting via Tech Support,[]
Pretexting via Delivery Person,[]
Pretexting via Phone,[]
Influence Perception of Reciprocation,"['An organization should provide regular, robust cybersecurity training to its employees to prevent social engineering attacks. ']"
Influence Perception of Scarcity,"['An organization should provide regular, robust cybersecurity training to its employees to prevent social engineering attacks. ']"
Influence Perception of Authority,"['An organization should provide regular, robust cybersecurity training to its employees to prevent social engineering attacks. ']"
Influence Perception of Commitment and Consistency,"['An organization should provide regular, robust cybersecurity training to its employees to prevent social engineering attacks. ', 'Individuals should avoid complying with suspicious requests. ']"
Influence Perception of Liking,"['An organization should provide regular, robust cybersecurity training to its employees to prevent social engineering attacks. ']"
Influence Perception of Consensus or Social Proof,"['An organization should provide regular, robust cybersecurity training to its employees to prevent social engineering attacks. ']"
Influence via Modes of Thinking,[]
Target Influence via Eye Cues,[]
Target Influence via The Human Buffer Overflow,[]
Target Influence via Interview and Interrogation,[]
Target Influence via Instant Rapport,[]
DNS Domain Seizure,[]
Dumpster Diving,[]
Shoulder Surfing,"['Be mindful of your surroundings when discussing or viewing sensitive information in public areas. ', 'Pertaining to insider threats, ensure that sensitive information is not displayed to nor discussed around individuals without need-to-know access to said information. ']"
Lock Bumping,[]
Lock Picking,[]
Using a Snap Gun Lock to Force a Lock,[]
Cloning Magnetic Strip Cards,[]
Magnetic Strip Card Brute Force Attacks,[]
Cloning RFID Cards or Chips,[]
RFID Chip Deactivation or Destruction,[]
Smudge Attack,['Strong physical security of the device. ']
